,Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,latitude,longitude
0,K02000001,UNITED KINGDOM,Country,242494.5701,67596281,279,63285145,261,,
1,K03000001,GREAT BRITAIN,Country,228947.9162,65685738,287,61470827,268,,
2,K04000001,ENGLAND AND WALES,Country,151046.9855,60238038,399,56170927,372,,
3,E92000001,ENGLAND,Country,130310.4675,57106398,438,53107169,408,,
4,E12000001,NORTH EAST,Region,8580.7864,2683040,313,2596441,303,,
5,E06000047,County Durham,Unitary Authority,2225.861,528127,237,512994,230,54.7867,-1.5301
6,E06000005,Darlington,Unitary Authority,197.4779,109469,554,105584,535,54.5221,-1.5508
7,E06000001,Hartlepool,Unitary Authority,93.71700000000001,93861,1002,92088,983,54.6385,-1.3527
8,E06000002,Middlesbrough,Unitary Authority,53.881800000000005,148285,2752,138368,2568,54.5759,-1.2449
9,E06000057,Northumberland,Unitary Authority,5019.897800000001,324362,65,316278,63,54.9721,-2.5817
10,E06000003,Redcar and Cleveland,Unitary Authority,245.06959999999998,137175,560,135164,552,54.6185,-1.0713
11,E06000004,Stockton-on-Tees,Unitary Authority,204.9332,199966,976,191824,936,54.5229,-1.4225
12,E11000007,Tyne and Wear (Met County),Metropolitan County,539.9481,1141795,2115,1104141,2045,,
13,E08000037,Gateshead,Metropolitan District,142.3392,197722,1389,200349,1408,54.8952,-1.5835
14,E08000021,Newcastle upon Tyne,Metropolitan District,113.4515,307565,2711,279092,2460,54.9675,-1.6154
15,E08000022,North Tyneside,Metropolitan District,82.3005,210487,2558,201206,2445,55.0183,-1.568
16,E08000023,South Tyneside,Metropolitan District,64.4205,148667,2308,148164,2300,54.9469,-1.5157
17,E08000024,Sunderland,Metropolitan District,137.4364,277354,2018,275330,2003,54.9049,-1.562
18,E12000002,NORTH WEST,Region,14108.0061,7516113,533,7055961,500,,
19,E06000008,Blackburn with Darwen,Unitary Authority,137.0223,155762,1137,147657,1078,53.7443,-2.4564
20,E06000009,Blackpool,Unitary Authority,34.8708,141574,4060,142080,4074,53.8212,-3.054
21,E06000049,Cheshire East,Unitary Authority,1166.3578,406527,349,370736,318,53.0979,-2.709
22,E06000050,Cheshire West and Chester,Unitary Authority,920.018,361694,393,329526,358,53.1908,-2.8836
23,E06000063,Cumberland,Unitary Authority,3012.2075,275390,91,274546,91,54.8906,-2.9438
24,E06000006,Halton,Unitary Authority,79.0842,128964,1631,125722,1590,53.3382,-2.7984
25,E06000007,Warrington,Unitary Authority,180.628,211580,1171,202709,1122,53.3863,-2.5993
26,E06000064,Westmorland and Furness,Unitary Authority,3755.7383999999997,227643,61,225271,60,54.6556,-2.7183
27,E11000001,Greater Manchester (Met County),Metropolitan County,1275.9813000000001,2911744,2282,2685386,2105,,
28,E08000001,Bolton,Metropolitan District,139.7921,298903,2138,277296,1984,53.572,-2.4251
29,E08000002,Bury,Metropolitan District,99.46,194606,1957,185422,1864,53.6478,-2.3124
30,E08000003,Manchester,Metropolitan District,115.6485,568996,4920,502902,4349,53.4736,-2.1721
31,E08000004,Oldham,Metropolitan District,142.3448,243912,1714,225157,1582,53.5403,-2.1726
32,E08000005,Rochdale,Metropolitan District,158.1283,226992,1435,211929,1340,53.6073,-2.2557
33,E08000006,Salford,Metropolitan District,97.1974,278064,2861,234487,2412,53.4812,-2.2804
34,E08000007,Stockport,Metropolitan District,126.0404,297107,2357,283253,2247,53.4161,-2.2137
35,E08000008,Tameside,Metropolitan District,103.1542,232753,2256,219727,2130,53.4802,-2.1672
36,E08000009,Trafford,Metropolitan District,106.04469999999999,236301,2228,227091,2141,53.4656,-2.2605
37,E08000010,Wigan,Metropolitan District,188.1709,334110,1776,318122,1691,53.5073,-2.4263
38,E10000017,Lancashire,County,2893.9028000000003,1253154,433,1171558,405,,
39,E07000117,Burnley,Non-metropolitan District,110.6839,95553,863,87032,786,53.7965,-2.243
40,E07000118,Chorley,Non-metropolitan District,202.7622,118624,585,107591,531,53.7225,-2.5476
41,E07000119,Fylde,Non-metropolitan District,165.6975,83008,501,76098,459,53.8243,-3.0014
42,E07000120,Hyndburn,Non-metropolitan District,73.00659999999999,83213,1140,80549,1103,53.7453,-2.4347
43,E07000121,Lancaster,Non-metropolitan District,566.9313999999999,144446,255,137823,243,54.0482,-2.8038
44,E07000122,Pendle,Non-metropolitan District,169.38,96110,567,89576,529,53.818,-2.234
45,E07000123,Preston,Non-metropolitan District,142.2842,151582,1065,140054,984,53.7588,-2.6839
46,E07000124,Ribble Valley,Non-metropolitan District,583.1764,63107,108,57292,98,53.7973,-2.3381
47,E07000125,Rossendale,Non-metropolitan District,138.0411,71169,516,68053,493,53.7038,-2.4076
48,E07000126,South Ribble,Non-metropolitan District,113.1417,112166,991,109181,965,53.7764,-2.5578
49,E07000127,West Lancashire,Non-metropolitan District,346.6333,119367,344,110617,319,53.5125,-2.8884
50,E07000128,Wyre,Non-metropolitan District,282.16450000000003,114809,407,107692,382,53.8339,-2.9986
51,E11000002,Merseyside (Met County),Metropolitan County,652.195,1442081,2211,1380770,2117,,
52,E08000011,Knowsley,Metropolitan District,86.5001,157103,1816,145903,1687,53.4695,-2.9153
53,E08000012,Liverpool,Metropolitan District,111.8358,496770,4442,465656,4164,53.4741,-2.9229
54,E08000014,Sefton,Metropolitan District,156.5785,281027,1795,273969,1750,53.4744,-2.9251
55,E08000013,St. Helens,Metropolitan District,136.3587,184728,1355,175405,1286,53.434,-2.785
56,E08000015,Wirral,Metropolitan District,160.9219,322453,2004,319837,1988,53.3971,-3.0114
57,E12000003,YORKSHIRE AND THE HUMBER,Region,15404.4569,5541262,360,5288212,343,,
58,E06000011,East Riding of Yorkshire,Unitary Authority,2403.5994,346309,144,334673,139,53.693,-1.0308
59,E06000010,"Kingston upon Hull, City of",Unitary Authority,71.5837,268852,3756,256123,3578,53.7802,-0.2526
60,E06000012,North East Lincolnshire,Unitary Authority,192.62290000000002,157754,819,159735,829,53.5658,-0.0841
61,E06000013,North Lincolnshire,Unitary Authority,846.5402,170042,201,167516,198,53.4559,-0.7995
62,E06000065,North Yorkshire,Unitary Authority,8037.3722,623501,78,601206,75,53.9937,-1.5414
63,E06000014,York,Unitary Authority,271.9312,204551,752,197783,727,53.9545,-1.0578
64,E11000003,South Yorkshire (Met County),Metropolitan County,1551.5487,1392105,897,1343805,866,,
65,E08000016,Barnsley,Metropolitan District,329.0777,246482,749,231865,705,53.5254,-1.2869
66,E08000017,Doncaster,Metropolitan District,568.0064,311027,548,302468,533,53.4248,-1.0232
67,E08000018,Rotherham,Metropolitan District,286.5344,268354,937,257716,899,53.4163,-1.1457
68,E08000019,Sheffield,Metropolitan District,367.93019999999996,566242,1539,551756,1500,53.3811,-1.4989
69,E11000006,West Yorkshire (Met County),Metropolitan County,2029.2586,2378148,1172,2227371,1098,,
70,E08000032,Bradford,Metropolitan District,366.41970000000003,552644,1508,523115,1428,53.8437,-1.7354
71,E08000033,Calderdale,Metropolitan District,363.9609,207699,571,204170,561,53.7593,-1.8339
72,E08000034,Kirklees,Metropolitan District,408.5516,437593,1071,422970,1035,53.7517,-1.6948
73,E08000035,Leeds,Metropolitan District,551.7067,822483,1491,750683,1361,53.8358,-1.7028
74,E08000036,Wakefield,Metropolitan District,338.6197,357729,1056,326433,964,53.5994,-1.2584
75,E12000004,EAST MIDLANDS,Region,15623.5227,4934939,316,4537448,290,,
76,E06000015,Derby,Unitary Authority,78.0312,263490,3377,248943,3190,52.9149,-1.4656
77,E06000016,Leicester,Unitary Authority,73.3422,373399,5091,329627,4494,52.6355,-1.129
78,E06000061,North Northamptonshire,Unitary Authority,986.5946,363408,368,317959,322,52.4001,-0.7296
79,E06000018,Nottingham,Unitary Authority,74.6134,328513,4403,303899,4073,52.9026,-1.1782
80,E06000017,Rutland,Unitary Authority,381.8311,41151,108,37581,98,52.6704,-0.7279
81,E06000062,West Northamptonshire,Unitary Authority,1377.4108999999999,429013,311,376008,273,52.237,-0.893
82,E10000007,Derbyshire,County,2546.7562,803464,315,770688,303,,
83,E07000032,Amber Valley,Non-metropolitan District,265.4379,126944,478,122521,462,52.9844,-1.4498
84,E07000033,Bolsover,Non-metropolitan District,160.3346,81553,509,76029,474,53.1045,-1.3431
85,E07000034,Chesterfield,Non-metropolitan District,66.03529999999999,104110,1577,103788,1572,53.2951,-1.3738
86,E07000035,Derbyshire Dales,Non-metropolitan District,792.4242999999999,71752,91,71104,90,53.1201,-1.5846
87,E07000036,Erewash,Non-metropolitan District,109.6301,113080,1031,112249,1024,52.9495,-1.4418
88,E07000037,High Peak,Non-metropolitan District,539.1433999999999,91109,169,90982,169,53.3482,-1.6896
89,E07000038,North East Derbyshire,Non-metropolitan District,275.6237,103783,377,99100,360,53.1237,-1.4867
90,E07000039,South Derbyshire,Non-metropolitan District,338.12690000000003,111133,329,94915,281,52.7745,-1.5579
91,E10000018,Leicestershire,County,2082.8939,722155,347,651179,313,,
92,E07000129,Blaby,Non-metropolitan District,130.4687,104182,799,94132,721,52.5354,-1.3328
